Birthday,HeadCoach,Name,Number,Position,Team
1995-06-05,詹姆斯-博雷戈,"马楚拉,(J.P. Macura)",55,G,夏洛特黄蜂（Charlotte Hornets）
1994-11-16,迈克-德安东尼,"加雷-克拉克,(Gary Clark)",6,F,休斯顿火箭（Houston Rockets）
1992-10-03,泰伦-卢,"勒维-兰多夫,(Levi Randolph)",6,G,克利夫兰骑士（Cleveland Cavaliers）
1996-08-23,德韦恩-凯西,"基南-埃文斯,(Keenan Evans)",12,G,底特律活塞（Detroit Pistons）
1998-08-03,迈克-布登霍尔泽,"特雷旺-杜瓦尔,(Trevon Duval)",0,G,密尔沃基雄鹿（Milwaukee Bucks）
1995-12-31,内特-麦克米兰,"埃德蒙-萨姆纳,(Edmond Sumner)",5,G,印第安纳步行者（Indiana Pacers）
1995-11-29,史蒂夫-克利福德,"特洛伊-科佩恩,(Troy Caupain)",3,G,奥兰多魔术（Orlando Magic）
1991-03-28,斯科特-布鲁克斯,"乔丹-麦克雷,(Jordan McRae)",52,G,华盛顿奇才（Washington Wizards）
1993-07-27,尼克-纳斯,"乔丹-劳埃德,(Jordan Loyd)",8,G,多伦多猛龙（Toronto Raptors）
1994-10-03,肯尼-阿特金森,"努尼-奥莫特,(Nuni Omot)",7,F,布鲁克林篮网（Brooklyn Nets）
1996-09-26,布雷特-布朗,"谢克-米尔顿,(Shake Milton)",18,G,费城76人（Philadelphia 76ers）
1993-09-06,劳埃德-皮尔斯,"亚历克斯-波伊思雷斯,(Alex Poythress)",22,F,亚特兰大老鹰（Atlanta Hawks）
1994-04-22,埃里克-斯波尔斯特拉,"邓肯-鲁宾逊,(Duncan Robinson)",55,F,迈阿密热火（Miami Heat）
1997-10-29,弗雷德-霍伊博格,"罗尔-阿尔金斯,(Rawle Alkins)",20,G,芝加哥公牛（Chicago Bulls）
1996-02-03,迈克尔-马龙,"托马斯-韦尔什,(Thomas Welsh)",45,C,丹佛掘金（Denver Nuggets）
1995-08-05,布拉德-史蒂文斯,"尼克-金,(Nicholas King)",55,F,波士顿凯尔特人（Boston Celtics）
1995-10-02,奎因-斯奈德,"艾萨克-哈斯,(Isaac Haas)",44,C,犹他爵士（Utah Jazz）
1994-01-31,比利-多诺万,"迪昂特-伯顿,(Deonte Burton)",30,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1996-07-11,特里-斯托茨,"卡梅伦-奥利弗,(Cameron Oliver)",23,F,波特兰开拓者（Portland Trail Blazers）
1990-02-06,汤姆-锡伯杜,"CJ-威廉姆斯,(C.J. Williams)",12,G,明尼苏达森林狼（Minnesota Timberwolves）
1997-03-26,戴夫-乔尔格,"W. Gabriel,(Wenyen Gabriel)",32,F,萨克拉门托国王（Sacramento Kings）
1994-01-15,伊戈尔-科科什科夫,"乔治-金,(George King)",8,F,菲尼克斯太阳（Phoenix Suns）
1994-12-30,大卫-菲兹代尔,",(Paul Watson)",,G,纽约尼克斯（New York Knicks）
1995-08-03,史蒂夫-科尔,"肯德里克-努恩,(Kendrick Nunn)",25,G,金州勇士（Golden State Warriors）
1995-04-01,卢克-沃顿,"乔尔-贝里二世,(Joel Berry II)",18,G,洛杉矶湖人（Los Angeles Lakers）
1994-11-20,道格-里弗斯,"安吉尔-德尔加多,(Angel Delgado)",31,C,洛杉矶快船（Los Angeles Clippers）
1994-10-13,JB-比克斯塔夫（临时帅）,"渡边雄太,(Yuta Watanabe)",12,G-F,孟菲斯灰熊（Memphis Grizzlies）
1991-01-03,阿尔文-金特里,"达柳斯-莫里斯,(Darius Morris)",9,G,新奥尔良鹈鹕（New Orleans Pelicans）
1992-12-22,格雷格-波波维奇,"尼克-约翰逊,(Nick Johnson)",24,G,圣安东尼奥马刺（San Antonio Spurs）
1997-11-20,里克-卡莱尔,"科斯塔斯-阿德托昆博,(Kostas Antetokounmpo)",37,F,达拉斯独行侠（Dallas Mavericks）
Birthday,HeadCoach,Name,Number,Position,Team
1994-11-16,迈克-德安东尼,"加雷-克拉克,(Gary Clark)",6,F,休斯顿火箭（Houston Rockets）
1995-11-29,史蒂夫-克利福德,"特洛伊-科佩恩,(Troy Caupain)",3,G,奥兰多魔术（Orlando Magic）
1996-08-23,德韦恩-凯西,"基南-埃文斯,(Keenan Evans)",12,G,底特律活塞（Detroit Pistons）
1998-08-03,迈克-布登霍尔泽,"特雷旺-杜瓦尔,(Trevon Duval)",0,G,密尔沃基雄鹿（Milwaukee Bucks）
1997-10-29,弗雷德-霍伊博格,"罗尔-阿尔金斯,(Rawle Alkins)",20,G,芝加哥公牛（Chicago Bulls）
1996-09-26,布雷特-布朗,"谢克-米尔顿,(Shake Milton)",18,G,费城76人（Philadelphia 76ers）
1995-12-31,内特-麦克米兰,"埃德蒙-萨姆纳,(Edmond Sumner)",5,G,印第安纳步行者（Indiana Pacers）
1992-10-03,泰伦-卢,"勒维-兰多夫,(Levi Randolph)",6,G,克利夫兰骑士（Cleveland Cavaliers）
1993-09-06,劳埃德-皮尔斯,"亚历克斯-波伊思雷斯,(Alex Poythress)",22,F,亚特兰大老鹰（Atlanta Hawks）
1993-07-27,尼克-纳斯,"乔丹-劳埃德,(Jordan Loyd)",8,G,多伦多猛龙（Toronto Raptors）
1994-10-03,肯尼-阿特金森,"努尼-奥莫特,(Nuni Omot)",7,F,布鲁克林篮网（Brooklyn Nets）
1995-08-05,布拉德-史蒂文斯,"尼克-金,(Nicholas King)",55,F,波士顿凯尔特人（Boston Celtics）
1996-02-03,迈克尔-马龙,"托马斯-韦尔什,(Thomas Welsh)",45,C,丹佛掘金（Denver Nuggets）
1995-06-05,詹姆斯-博雷戈,"马楚拉,(J.P. Macura)",55,G,夏洛特黄蜂（Charlotte Hornets）
1994-12-30,大卫-菲兹代尔,",(Paul Watson)",,G,纽约尼克斯（New York Knicks）
1994-01-31,比利-多诺万,"迪昂特-伯顿,(Deonte Burton)",30,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1995-10-02,奎因-斯奈德,"艾萨克-哈斯,(Isaac Haas)",44,C,犹他爵士（Utah Jazz）
1991-03-28,斯科特-布鲁克斯,"乔丹-麦克雷,(Jordan McRae)",52,G,华盛顿奇才（Washington Wizards）
1997-03-26,戴夫-乔尔格,"W. Gabriel,(Wenyen Gabriel)",32,F,萨克拉门托国王（Sacramento Kings）
1996-07-11,特里-斯托茨,"卡梅伦-奥利弗,(Cameron Oliver)",23,F,波特兰开拓者（Portland Trail Blazers）
1990-02-06,汤姆-锡伯杜,"CJ-威廉姆斯,(C.J. Williams)",12,G,明尼苏达森林狼（Minnesota Timberwolves）
1994-04-22,埃里克-斯波尔斯特拉,"邓肯-鲁宾逊,(Duncan Robinson)",55,F,迈阿密热火（Miami Heat）
1995-08-03,史蒂夫-科尔,"肯德里克-努恩,(Kendrick Nunn)",25,G,金州勇士（Golden State Warriors）
1994-01-15,伊戈尔-科科什科夫,"乔治-金,(George King)",8,F,菲尼克斯太阳（Phoenix Suns）
1995-04-01,卢克-沃顿,"乔尔-贝里二世,(Joel Berry II)",18,G,洛杉矶湖人（Los Angeles Lakers）
1992-12-22,格雷格-波波维奇,"尼克-约翰逊,(Nick Johnson)",24,G,圣安东尼奥马刺（San Antonio Spurs）
1991-01-03,阿尔文-金特里,"达柳斯-莫里斯,(Darius Morris)",9,G,新奥尔良鹈鹕（New Orleans Pelicans）
1997-11-20,里克-卡莱尔,"科斯塔斯-阿德托昆博,(Kostas Antetokounmpo)",37,F,达拉斯独行侠（Dallas Mavericks）
1994-11-20,道格-里弗斯,"安吉尔-德尔加多,(Angel Delgado)",31,C,洛杉矶快船（Los Angeles Clippers）
1994-10-13,JB-比克斯塔夫（临时帅）,"渡边雄太,(Yuta Watanabe)",12,G-F,孟菲斯灰熊（Memphis Grizzlies）
Birthday,HeadCoach,Name,Number,Position,Team
1985-05-06,迈克-德安东尼,"克里斯-保罗,(Chris Paul)",3,G,休斯顿火箭（Houston Rockets）
1989-08-26,迈克-德安东尼,"詹姆斯-哈登,(James Harden)",13,G,休斯顿火箭（Houston Rockets）
1993-06-03,斯科特-布鲁克斯,"奥托-波特,(Otto Porter Jr.)",22,F,华盛顿奇才（Washington Wizards）
1991-12-02,迈克-德安东尼,"布兰登-奈特,(Brandon Knight)",2,G,休斯顿火箭（Houston Rockets）
1994-05-18,迈克-德安东尼,"克林特-卡佩拉,(Clint Capela)",15,C,休斯顿火箭（Houston Rockets）
1988-12-25,迈克-德安东尼,"埃里克-戈登,(Eric Gordon)",10,G,休斯顿火箭（Houston Rockets）
1985-05-05,迈克-德安东尼,"PJ-塔克,(PJ Tucker)",17,F,休斯顿火箭（Houston Rockets）
1982-09-13,迈克-德安东尼,"内内,( Nene)",42,C-F,休斯顿火箭（Houston Rockets）
1993-06-28,斯科特-布鲁克斯,"布拉德利-比尔,(Bradley Beal)",3,G,华盛顿奇才（Washington Wizards）
1990-09-06,斯科特-布鲁克斯,"约翰-沃尔,(John Wall)",2,G,华盛顿奇才（Washington Wizards）
1986-11-05,斯科特-布鲁克斯,"伊安-马辛米,(Ian Mahinmi)",28,C,华盛顿奇才（Washington Wizards）
1992-08-01,斯科特-布鲁克斯,"奥斯汀-里弗斯,(Austin Rivers)",1,G,华盛顿奇才（Washington Wizards）
1989-09-02,斯科特-布鲁克斯,"马基夫-莫里斯,(Markieff Morris)",5,F,华盛顿奇才（Washington Wizards）
1988-12-14,詹姆斯-博雷戈,"尼古拉斯-巴图姆,(Nicolas Batum)",5,G-F,夏洛特黄蜂（Charlotte Hornets）
1992-08-28,詹姆斯-博雷戈,"俾斯麦-比永博,(Bismack Biyombo)",8,C,夏洛特黄蜂（Charlotte Hornets）
1986-06-19,詹姆斯-博雷戈,"马文-威廉姆斯,(Marvin Williams)",2,F,夏洛特黄蜂（Charlotte Hornets）
1997-07-02,迈克-德安东尼,"马基斯-克里斯,(Marquese Chriss)",0,F,休斯顿火箭（Houston Rockets）
1986-01-26,迈克-德安东尼,"杰拉德-格林,(Gerald Green)",14,G-F,休斯顿火箭（Houston Rockets）
1984-05-29,迈克-德安东尼,"卡梅罗-安东尼,(Carmelo Anthony)",7,F,休斯顿火箭（Houston Rockets）
1991-10-10,迈克-德安东尼,"迈克尔-卡特-威廉姆斯,(Michael Carter-Williams)",1,G,休斯顿火箭（Houston Rockets）
1995-09-21,迈克-德安东尼,"布鲁诺-卡博克洛,(Bruno Caboclo)",5,F,休斯顿火箭（Houston Rockets）
1992-05-04,内特-麦克米兰,"维克托-奥拉迪波,(Victor Oladipo)",4,G,印第安纳步行者（Indiana Pacers）
1988-06-21,内特-麦克米兰,"赛迪斯-杨,(Thaddeus Young)",21,F,印第安纳步行者（Indiana Pacers）
1989-09-19,内特-麦克米兰,"泰瑞克-埃文斯,(Tyreke Evans)",12,G,印第安纳步行者（Indiana Pacers）
1986-03-02,斯科特-布鲁克斯,"杰森-史密斯,(Jason Smith)",14,F-C,华盛顿奇才（Washington Wizards）
1985-12-08,斯科特-布鲁克斯,"德怀特-霍华德,(Dwight Howard)",21,C,华盛顿奇才（Washington Wizards）
1987-08-21,斯科特-布鲁克斯,"约迪-米克斯,(Jodie Meeks)",20,G,华盛顿奇才（Washington Wizards）
1992-10-05,詹姆斯-博雷戈,"科迪-泽勒,(Cody Zeller)",40,F-C,夏洛特黄蜂（Charlotte Hornets）
1993-09-26,詹姆斯-博雷戈,"迈克尔-基德-吉尔克里斯特,(Michael Kidd-Gilchrist)",14,F,夏洛特黄蜂（Charlotte Hornets）
1990-05-08,詹姆斯-博雷戈,"肯巴-沃克,(Kemba Walker)",15,G,夏洛特黄蜂（Charlotte Hornets）
1992-05-30,詹姆斯-博雷戈,"杰里米-兰姆,(Jeremy Lamb)",3,G,夏洛特黄蜂（Charlotte Hornets）
1982-05-17,詹姆斯-博雷戈,"托尼-帕克,(Tony Parker)",9,G,夏洛特黄蜂（Charlotte Hornets）
1993-04-04,詹姆斯-博雷戈,"弗兰克-卡明斯基,(Frank Kaminsky)",44,F-C,夏洛特黄蜂（Charlotte Hornets）
1988-09-07,泰伦-卢,"凯文-乐福,(Kevin Love)",0,F-C,克利夫兰骑士（Cleveland Cavaliers）
1986-05-04,泰伦-卢,"乔治-希尔,(George Hill)",3,G,克利夫兰骑士（Cleveland Cavaliers）
1990-07-01,迈克-德安东尼,"詹姆斯-恩尼斯,(James Ennis III)",8,F,休斯顿火箭（Houston Rockets）
1996-01-16,迈克-德安东尼,"周琦,(Zhou Qi)",9,F-C,休斯顿火箭（Houston Rockets）
1995-03-15,弗雷德-霍伊博格,"贾巴里-帕克,(Jabari Parker)",2,F,芝加哥公牛（Chicago Bulls）
1995-03-10,弗雷德-霍伊博格,"扎克-拉文,(Zach LaVine)",8,G,芝加哥公牛（Chicago Bulls）
1989-04-18,内特-麦克米兰,"博扬-波格丹诺维奇,(Bojan Bogdanovic)",44,F,印第安纳步行者（Indiana Pacers）
1987-08-23,内特-麦克米兰,"达伦-科里森,(Darren Collison)",2,G,印第安纳步行者（Indiana Pacers）
1991-08-20,内特-麦克米兰,"科里-约瑟夫,(Cory Joseph)",6,G,印第安纳步行者（Indiana Pacers）
1992-01-03,内特-麦克米兰,"道格-麦克德莫特,(Doug McDermott)",20,F,印第安纳步行者（Indiana Pacers）
1990-03-26,内特-麦克米兰,"凯尔-奥奎因,(Kyle O'Quinn)",10,C,印第安纳步行者（Indiana Pacers）
1995-09-16,史蒂夫-克利福德,"阿龙-戈登,(Aaron Gordon)",00,F,奥兰多魔术（Orlando Magic）
1992-10-29,史蒂夫-克利福德,"埃文-富尼耶,(Evan Fournier)",10,G-F,奥兰多魔术（Orlando Magic）
1994-12-06,迈克-布登霍尔泽,"扬尼斯-阿德托昆博,(Giannis Antetokounmpo)",34,F,密尔沃基雄鹿（Milwaukee Bucks）
1989-12-09,迈克-布登霍尔泽,"埃里克-布莱索,(Eric Bledsoe)",6,G,密尔沃基雄鹿（Milwaukee Bucks）
1992-05-20,大卫-菲兹代尔,"埃内斯-坎特,(Enes Kanter)",00,C,纽约尼克斯（New York Knicks）
1985-02-25,大卫-菲兹代尔,"乔金-诺阿,(Joakim Noah)",13,C,纽约尼克斯（New York Knicks）
1992-03-16,大卫-菲兹代尔,"小蒂姆-哈达威,(Tim Hardaway Jr.)",3,F-G,纽约尼克斯（New York Knicks）
1995-12-09,斯科特-布鲁克斯,"凯利-乌布雷,(Kelly Oubre Jr.)",12,F,华盛顿奇才（Washington Wizards）
1991-10-30,斯科特-布鲁克斯,"托马什-萨托兰斯基,(Tomas Satoransky)",31,G-F,华盛顿奇才（Washington Wizards）
1999-07-28,斯科特-布鲁克斯,"特洛伊-布朗,(Troy Brown Jr.)",6,F,华盛顿奇才（Washington Wizards）
1986-08-28,斯科特-布鲁克斯,"杰夫-格林,(Jeff Green)",32,F,华盛顿奇才（Washington Wizards）
1989-02-04,斯科特-布鲁克斯,"拉沃伊-阿伦,(Lavoy Allen)",24,F-C,华盛顿奇才（Washington Wizards）
1997-07-31,斯科特-布鲁克斯,"托马斯-布莱恩特,(Thomas Bryant)",13,C,华盛顿奇才（Washington Wizards）
1998-02-04,詹姆斯-博雷戈,"马利克-蒙克,(Malik Monk)",1,G,夏洛特黄蜂（Charlotte Hornets）
1998-03-21,詹姆斯-博雷戈,"迈尔斯-布里奇斯,(Miles Bridges)",0,F,夏洛特黄蜂（Charlotte Hornets）
1994-05-27,詹姆斯-博雷戈,"吉列尔莫-埃尔南戈麦斯,(Willy Hernangomez)",41,C,夏洛特黄蜂（Charlotte Hornets）
1995-08-30,詹姆斯-博雷戈,"德维恩-培根,(Dwayne Bacon)",7,G-F,夏洛特黄蜂（Charlotte Hornets）
1995-02-22,詹姆斯-博雷戈,"德文特-格雷厄姆,(Devonte' Graham)",4,G,夏洛特黄蜂（Charlotte Hornets）
1995-11-01,詹姆斯-博雷戈,"乔-切利,(Joe Chealey)",31,G,夏洛特黄蜂（Charlotte Hornets）
1991-03-13,泰伦-卢,"特里斯坦-汤普森,(Tristan Thompson)",13,F-C,克利夫兰骑士（Cleveland Cavaliers）
1985-09-09,泰伦-卢,"JR-史密斯,(JR Smith)",5,G-F,克利夫兰骑士（Cleveland Cavaliers）
1992-06-07,泰伦-卢,"乔丹-克拉克森,(Jordan Clarkson)",8,G,克利夫兰骑士（Cleveland Cavaliers）
1981-03-17,泰伦-卢,"凯尔-科沃尔,(Kyle Korver)",26,G-F,克利夫兰骑士（Cleveland Cavaliers）
1998-05-05,迈克-德安东尼,"以赛亚-哈尔滕施泰因,(Isaiah Hartenstein)",55,F-C,休斯顿火箭（Houston Rockets）
1994-04-03,迈克-德安东尼,"罗布-格雷,(Rob Gray)",32,G,休斯顿火箭（Houston Rockets）
1996-04-05,迈克-德安东尼,"文森特-爱德华兹,(Vincent Edwards)",12,F,休斯顿火箭（Houston Rockets）
1994-11-16,迈克-德安东尼,"加雷-克拉克,(Gary Clark)",6,F,休斯顿火箭（Houston Rockets）
1988-04-01,弗雷德-霍伊博格,"罗宾-洛佩斯,(Robin Lopez)",42,C,芝加哥公牛（Chicago Bulls）
1986-07-04,弗雷德-霍伊博格,"欧米尔-阿西克,(Omer Asik)",3,C,芝加哥公牛（Chicago Bulls）
1992-07-07,弗雷德-霍伊博格,"克里斯蒂亚诺-费利西奥,(Cristiano Felicio)",6,F-C,芝加哥公牛（Chicago Bulls）
1997-05-22,弗雷德-霍伊博格,"劳里-马尔卡宁,(Lauri Markkanen)",24,F,芝加哥公牛（Chicago Bulls）
1999-04-16,弗雷德-霍伊博格,"温德尔-卡特,(Wendell Carter Jr.)",34,F,芝加哥公牛（Chicago Bulls）
1989-04-05,弗雷德-霍伊博格,"贾斯廷-霍勒迪,(Justin Holiday)",7,G,芝加哥公牛（Chicago Bulls）
1996-03-24,内特-麦克米兰,"迈尔斯-特纳,(Myles Turner)",33,F-C,印第安纳步行者（Indiana Pacers）
1996-05-03,内特-麦克米兰,"多曼塔斯-萨博尼斯,(Domantas Sabonis)",11,F,印第安纳步行者（Indiana Pacers）
1997-04-30,内特-麦克米兰,"TJ-利夫,(TJ Leaf)",22,F,印第安纳步行者（Indiana Pacers）
1996-09-30,内特-麦克米兰,"阿龙-霍勒迪,(Aaron Holiday)",3,G,印第安纳步行者（Indiana Pacers）
1986-07-16,史蒂夫-克利福德,"季莫费-莫兹戈夫,(Timofey Mozgov)",21,C,奥兰多魔术（Orlando Magic）
1990-10-24,史蒂夫-克利福德,"尼古拉-武切维奇,(Nikola Vucevic)",9,C,奥兰多魔术（Orlando Magic）
1991-02-05,史蒂夫-克利福德,"特伦斯-罗斯,(Terrence Ross)",31,G-F,奥兰多魔术（Orlando Magic）
1987-11-10,史蒂夫-克利福德,"DJ-奥古斯丁,(D.J. Augustin)",14,G,奥兰多魔术（Orlando Magic）
1989-09-14,史蒂夫-克利福德,"乔纳森-西蒙斯,(Jonathon Simmons)",17,G,奥兰多魔术（Orlando Magic）
1991-08-12,迈克-布登霍尔泽,"克里斯-米德尔顿,(Khris Middleton)",22,F-G,密尔沃基雄鹿（Milwaukee Bucks）
1991-11-10,迈克-布登霍尔泽,"托尼-斯内尔,(Tony Snell)",21,G,密尔沃基雄鹿（Milwaukee Bucks）
1990-12-28,迈克-布登霍尔泽,"约翰-亨森,(John Henson)",31,C-F,密尔沃基雄鹿（Milwaukee Bucks）
1990-09-08,迈克-布登霍尔泽,"马修-戴拉维多瓦,(Matthew Dellavedova)",8,G,密尔沃基雄鹿（Milwaukee Bucks）
1987-05-15,迈克-布登霍尔泽,"艾森-伊利亚索瓦,(Ersan Ilyasova)",77,F,密尔沃基雄鹿（Milwaukee Bucks）
1988-04-01,迈克-布登霍尔泽,"布鲁克-洛佩斯,(Brook Lopez)",,C,密尔沃基雄鹿（Milwaukee Bucks）
1985-10-03,大卫-菲兹代尔,"考特尼-李,(Courtney Lee)",5,G,纽约尼克斯（New York Knicks）
1988-04-24,大卫-菲兹代尔,"兰斯-托马斯,(Lance Thomas)",42,F,纽约尼克斯（New York Knicks）
1995-02-25,大卫-菲兹代尔,"马里奥-海佐尼亚,(Mario Hezonja)",8,F-G,纽约尼克斯（New York Knicks）
1995-08-02,大卫-菲兹代尔,"克里斯塔普斯-波尔津吉斯,(Kristaps Porzingis)",6,F-C,纽约尼克斯（New York Knicks）
1993-03-30,大卫-菲兹代尔,"罗恩-贝克,(Ron Baker)",31,G,纽约尼克斯（New York Knicks）
1986-03-25,尼克-纳斯,"凯尔-洛瑞,(Kyle Lowry)",7,G,多伦多猛龙（Toronto Raptors）
1989-09-18,尼克-纳斯,"赛尔吉-伊巴卡,(Serge Ibaka)",9,F-C,多伦多猛龙（Toronto Raptors）
1993-02-05,斯科特-布鲁克斯,"沙松-兰德尔,(Chasson Randle)",9,G,华盛顿奇才（Washington Wizards）
1995-11-21,斯科特-布鲁克斯,"克里斯-奇奥萨,(Chris Chiozza)",4,G,华盛顿奇才（Washington Wizards）
